Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,9603.029999999997,115236.36,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Compute,Asia Pacific (Mumbai),k8s-master - 1 x m6i.large - 120 GB gp3,Amazon EC2 ,0,84.67,1016.04,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m6i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (120 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Compute,Asia Pacific (Mumbai),"mo-share, installer, app, datamo - 4 x m6i.large - 150 GB gp3",Amazon EC2 ,0,349.64,4195.68,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m6i.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (150 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Compute,Asia Pacific (Mumbai),foundation-node - 1 x m6i.xlarge - 150 GB gp3,Amazon EC2 ,0,161.14000000000001,1933.68,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (m6i.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (150 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Compute,Asia Pacific (Mumbai),gimo-node - 1 x r6i.2xlarge - 150 GB gp3,Amazon EC2 ,0,393.28000000000003,4719.36,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (r6i.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (150 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month)"
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Database,Asia Pacific (Mumbai),foundation-rds + gimo-rds - MySQL 8 - Single-AZ,Amazon RDS for MySQL,0,364.84,4378.08,USD,"Nodes (2), Instance type (db.m6g.large), Deployment option (Single-AZ), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Storage for each RDS instance (General Purpose SSD (gp3)), Storage amount (200 GB)"
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Database,Asia Pacific (Mumbai),datamo-meta-rds - PostgreSQL 18 - Single-AZ,Amazon RDS for PostgreSQL,0,191.17999999999998,2294.16,USD,"Nodes (1), Instance Type (db.m6g.large), Deployment Option (Single-AZ), Pricing Model (OnDemand), Utilization (On-Demand only) (100 %Utilized/Month), Storage volume (General Purpose SSD (gp3)), Storage amount (200 GB)"
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Database,Asia Pacific (Mumbai),datamo-data-rds - PostgreSQL 18 - Single-AZ,Amazon RDS for PostgreSQL,0,60.85999999999996,730.32,USD,"Nodes (1), Instance Type (db.m6g.xlarge), Deployment Option (Single-AZ), Pricing Model (OnDemand), Utilization (On-Demand only) (100 %Utilized/Month), Storage volume (General Purpose SSD (gp3)), Storage amount (400 GB)"
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Network,Asia Pacific (Mumbai),2 Application Load Balancers - base hours; traffic volume not supplied,Application Load Balancer,0,34.89,418.68,USD,Number of Application Load Balancers (2)
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Storage,Asia Pacific (Mumbai),application-bucket - 200 GB,S3 Standard,0,5,60.00,USD,S3 Standard storage (200 GB per month)
Core BOM FINAL - On-Demand - Mumbai > Sandbox > Search,Asia Pacific (Mumbai),opensearch-busi - 1 x r7g.large.search - 200 GB gp3,Amazon OpenSearch Service,0,119.07,1428.84,USD,"Nodes (1), Instance type (r7g.large.search), Instance Node Type (Memory optimized), Storage Type (EBS Only), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Nodes (0), Instance type (r5.2xlarge.search), Number of nodes (0), Number of instances (1), Storage for each Amazon OpenSearch Service instance (General Purpose SSD (gp3)), Storage amount per volume (gp3) (200 GB), Provisioning IOPS per volume (gp3) (3000), Provisioning throughput (MB/s) per volume (gp3) (125 undefined)"
